Column,Data Type
composite_key,str
age_level,str
gender,str
bmi_level,str
smoking,str
diabetes,str
age,int64
age_normalized,float64
bmi,float64
hypertension,float64
heart_disease,float64
HbA1c_level,float64
glucose,float64
cholesterol,float64
sleep_hours,float64
triglycerides,float64
physical_activity,str
family_history,str
stress_level,str
low_hdl_cholesterol,str
high_ldl_cholesterol,str
blood_pressure,float64
high_blood_pressure,str
sugar_consumption,str
crp_level,float64
homocysteine_level,float64
systolic_bp,float64
diastolic_bp,float64
alcohol_intake,float64
salt_intake,float64
heart_rate,float64
hdl,float64
ldl,float64
education_level,str
employment_status,str
source_dataset,str
disease_flags,str
sublabel,str
label,str
