,count,mean,std,min,25%,50%,75%,max
age,278701.0,49.71038137645721,21.682384836000004,2.0,32.0,50.0,68.0,89.0
age_normalized,278701.0,0.548394869280542,0.2492227279364659,0.0,0.344827,0.551724,0.75862,1.0
bmi,278701.0,27.492328431926826,7.0689657757181426,10.01,22.01,27.32,32.7,95.69
hypertension,278701.0,0.12919325474782395,0.18760194966909738,0.0,0.0,0.0718232044198895,0.217062634989201,1.0
heart_disease,278701.0,0.07394528010474649,0.1385042940211906,0.0,0.0,0.0078003120124805,0.117647058823529,1.0
HbA1c_level,278701.0,5.951909827224498,0.9524952860262605,3.5,5.3875,5.8,6.86576576576577,9.0
glucose,278701.0,135.26778389706715,38.503494539818426,70.0,100.0,137.0,160.0,300.0
cholesterol,278701.0,224.02718978866,35.668599653097864,150.0,201.0,225.0,243.0,300.0
sleep_hours,278701.0,6.954742533790384,1.432178604442781,4.0,6.19667929426348,6.97518518518519,7.7,10.0
triglycerides,278701.0,178.54044167375685,67.3448418708961,50.0,128.0,178.0,241.75,400.0
blood_pressure,278701.0,149.89325918699524,4.162958755504239,120.0,148.946428571429,149.713319667303,150.720941685233,180.0
crp_level,278701.0,7.488564662393126,1.017615142975512,0.0036467123625,7.29486336326421,7.45848313615769,7.75856185802918,14.9970867307103
homocysteine_level,278701.0,12.463521367293117,0.9867763049185896,5.00023648835611,12.287762713059,12.4884073908792,12.6861745139285,19.99903699209
systolic_bp,278701.0,134.40855698404604,20.625881085698317,90.0,125.0,134.167413213886,144.0,179.0
diastolic_bp,278701.0,89.47600763346013,13.723065860716735,60.0,83.0,89.5045871559633,96.0,119.0
alcohol_intake,278701.0,15.00229522677201,6.858135411202355,0.0,11.9,14.9761334473909,18.0,30.0
salt_intake,278701.0,8.48099646994632,2.9727290219359115,2.0,7.2,8.4776,9.8,15.0
heart_rate,278701.0,74.49880043663853,11.449471245676422,50.0,69.0,74.4872471416007,80.0,99.0
hdl,278701.0,64.606646756793,16.003632615621278,30.0,57.0,64.6506550218341,72.0,99.0
ldl,278701.0,129.71784071191448,27.46378398543308,70.0,117.0,129.882608695652,142.0,189.0
