Column,Skewness,Absolute Skewness
heart_disease,4.388922357227986,4.388922357227986
hypertension,2.901173279628965,2.901173279628965
blood_pressure,0.4605276636940648,0.4605276636940648
glucose,0.38190057012667467,0.38190057012667467
bmi,0.30622672482699853,0.30622672482699853
crp_level,-0.2771826241686877,0.2771826241686877
HbA1c_level,-0.19050573577482946,0.19050573577482946
age,-0.061136027745179435,0.061136027745179435
age_normalized,-0.06113583702823222,0.06113583702823222
triglycerides,-0.05662327921411893,0.05662327921411893
sleep_hours,0.04400637171665517,0.04400637171665517
homocysteine_level,-0.037071003739986945,0.037071003739986945
cholesterol,0.033675224312205536,0.033675224312205536
ldl,-0.02319777698550826,0.02319777698550826
systolic_bp,0.0126206464097469,0.0126206464097469
hdl,-0.012422542026334155,0.012422542026334155
salt_intake,0.008081445212525587,0.008081445212525587
diastolic_bp,-0.002948640066876798,0.002948640066876798
heart_rate,-0.0011780755494949545,0.0011780755494949545
alcohol_intake,-0.0002802339020111803,0.0002802339020111803
